material,pawn_structure,mobility,king_safety,tempo,total,position_id
1.5,3,2.5,0.75,0.75,0.75,fcb32f85_5
1.0,1.0,1.0,1.0,1.0,1.0,fcb32f85_6
3,2,4,1,2,2.7,aff08e5a_0
1,2,2,2,1,2.0,aff08e5a_1
8,3,3,2,1.5,4.2,aff08e5a_2
1.0,3.0,3.0,2.0,1.0,4.0,aff08e5a_3
1,1,1,1,0,0,aff08e5a_4_rand2
1,1,1,0,0,0,aff08e5a_5
1.0,3.0,3.0,2.0,1.0,3.5,aff08e5a_6_rand4
0,80,10,12,0,1.0,cceb2351_0
1.0,8.0,10.0,1.0,2.0,4.0,cceb2351_1_rand1
1,1,1,1,0,0,cceb2351_2
2,3,4,2,2,2,cceb2351_3_rand2
1.0,1.0,1.0,1.0,1.0,1.0,cceb2351_4
8,3,4,1,2,2.5,cceb2351_5_rand5
1,1,1,1,0,0,cceb2351_6
12,6,9,1,2,2.5,cceb2351_7
1,1.5,1.0,1.0,1.0,1.2,f5bdd880_0
8,2,4,2,2,2.5,f5bdd880_1
2,3,4,2,2,3.0,f5bdd880_2_rand3
8,2,4,2,2,3.0,f5bdd880_3
1,3,2,1,1,1.0,f5bdd880_4
2,5,4,1,0,1.0,55a8b57a_0
9,2,9,7,0,1.0,55a8b57a_1_rand2
1.5,3,1.8,1.0,1.3,1.3,55a8b57a_2
2,8,8,1,2,2,55a8b57a_3
12,8,9,1,2,2.5,55a8b57a_4
1.0,1.0,1.0,1.0,1.0,1.0,55a8b57a_5
1,1,1,1,0,0,55a8b57a_6_rand4
2,3,2,1,1,1.0,f1586e36_0
3,2,4,1,2,2.7,f1586e36_1_rand5
1,1,1,1,0,0,f1586e36_2
1.0,1.0,1.0,1.0,1.0,1.0,f1586e36_3
1.0,1.0,1.0,1.0,1.0,1.0,f1586e36_4_rand1
3,2,4,2,2,2.7,e9e8c153_0
2,1,2,2,0,0,e9e8c153_1
1.0,1.0,1.0,1.0,1.0,1.0,e9e8c153_2_rand3
2,1,1,2,0,0,e9e8c153_3
1,12,10,7,4,4.75,e9e8c153_4_rand3
2,1,1,1,0,0,e9e8c153_5
1.0,3.0,2.0,1.0,1.0,2.5,e9e8c153_6
1.0,3.0,2.0,1.0,1.0,2.5,e9e8c153_7
4,2,8,2,2,2.0,be191fcb_0
8,8,9,1,0,1.0,be191fcb_1
1,1,1,1,0,0,be191fcb_2
8,12,9,1,2,2.5,be191fcb_3
4,2,2,7,0,1.0,ecf2a091_0
1.0,1.0,1.0,1.0,1.0,1.0,ecf2a091_1
1,1,1,1,0,0,ecf2a091_2
1.5,3,1.2,0.75,0.75,0.75,ecf2a091_3_rand1
1.5,4,2.5,0.75,0.75,0.75,ecf2a091_4
1.5,3,2.5,0.75,0.75,0.75,ecf2a091_5_rand4
1,1,6,1,0,0.75,985a0946_0
2,2,2,1,0,1.0,985a0946_1
1.0,1.0,1.0,1.0,1.0,1.0,985a0946_2
1.0,1.0,1.0,1.0,1.0,1.0,985a0946_3
1.0,1.0,1.0,1.0,1.0,1.0,985a0946_4
1,12,9,1,0,0,985a0946_5
8,2,8,1.0,2,2.7,985a0946_6
1.0,1.0,1.0,1.0,1.0,1.0,985a0946_7
1.0,3.0,2.0,1.0,1.0,2.5,985a0946_8_rand3
1,12,1,1,0,0.75,985a0946_9
1.0,1.0,1.0,1.0,1.0,1.0,985a0946_10_rand1
4,2,8,1,0,1.0,0fd95772_0
2,2,4,1,2,2,0fd95772_1
10,3,3,1.5,-0.5,2.5,0fd95772_2
8,2,4,2,2,2.7,0fd95772_3_rand4
2,4,3,2,2,2.25,0fd95772_4
2,2,4,1,2,2.7,0fd95772_5
10,6,7,4,1.5,7.5,0fd95772_6
1.0,3.0,2.0,1.0,1.0,3.0,0fd95772_7
1,1,1,1,0,0,0fd95772_8_rand5
2.0,2.0,2.0,1.0,1.0,2.0,0fd95772_9
2.5,3,2.5,1.2,0.7,2.7,0fd95772_10_rand2
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_11
1.0,3.0,2.0,1.0,1.0,2.5,0fd95772_12
10,6,7,4,0.75,0.75,0fd95772_13_rand5
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_14
1.0,3.0,2.0,1.0,1.0,2.5,0fd95772_15_rand1
1,1,1,1,0,0,0fd95772_16
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_17
1,1,1,8,0,0.75,0fd95772_18
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_19_rand3
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_20
1.0,1.0,1.0,1.0,1.0,1.0,0fd95772_21_rand4
8,6,4,4,2,1.2,8d84c4cf_0
1,1,1,1,0,0,8d84c4cf_1
1.5,3,4,2,0.75,0.75,8d84c4cf_2
1.5,3,4,2,0.75,0.75,8d84c4cf_3_rand1
1.0,1.0,1.0,0.5,1.0,1.0,8d84c4cf_4
1.0,1.0,1.0,1.0,1.0,1.0,8d84c4cf_5
4,1.5,1.0,1.0,0.5,0.3,47e5f2f5_0
2.5,3,4,2,1.5,0.87,47e5f2f5_1
2,1,2,2,0,0,aff039cb_0
10,4,6,2,1.5,7.5,aff039cb_1
12,7,9,1,2,2.5,aff039cb_2
1,1,1,1,0,0,aff039cb_3
12,7,9,1,2,2.7,aff039cb_4
1.0,1.0,1.0,0.5,1.0,1.0,aff039cb_5_rand4
1,12,10,1,2,2.5,aff039cb_6
1.0,1.0,1.0,1.0,1.0,1.0,5e2f05b9_0
1.5,3,1.2,1.0,0.75,0.75,c163e404_0
1,1,1,1,0,0,c163e404_1
1,3,4,2,2,2.7,c163e404_2_rand4
8,4,4,2,1.25,0.75,c163e404_3
1.0,1.0,1.0,1.0,1.0,1.0,c163e404_4_rand4
1.0,1.0,1.0,0.5,1.0,1.0,c163e404_5
1.0,1.0,1.0,1.0,1.0,1.0,c163e404_6
1.0,1.0,1.0,1.0,1.0,1.0,c163e404_7_rand1
12,7,9,2,0,0,7b4c3404_0
1.0,12.0,11.0,7.0,4.0,7.0,7b4c3404_1
1.0,12.0,10.0,7.0,4.0,7.5,7b4c3404_2
2,2,4,1,2,2.7,7b4c3404_3
2,2,4,1,2,2,7b4c3404_4_rand3
12,2,10,1,2,2.7,7b4c3404_5
1.0,1.0,1.0,1.0,1.0,1.0,7b4c3404_6
1,1,1,1,0,0,7b4c3404_7
1.0,1.0,1.0,0.5,0.0,0.0,7b4c3404_8_rand3
1.0,1.0,1.0,1.0,1.0,1.0,7b4c3404_9
1,1,1,1,0,0,7b4c3404_10
1,1,1,1,0,0,7b4c3404_11_rand2
1.0,1.0,1.0,1.0,1.0,1.0,7b4c3404_12
1.0,3.0,3.0,2.0,2.0,3.5,7b4c3404_13_rand2
1,12,10,1,2,2,7b4c3404_14
1.0,3.0,2.0,2.0,1.0,4.0,7b4c3404_16
1.0,3.0,2.0,2.0,1.0,4.0,7b4c3404_16
1,1,1,1,0,0,7b4c3404_17_rand5
1,1,1,1,0,0,7b4c3404_18
1,1,1,4,2,2,7b4c3404_19_rand3
1.0,3.0,2.0,2.0,1.0,3.0,7b4c3404_20
1.0,3.0,2.0,2.0,1.0,4.0,7b4c3404_21
3,2,4,1,2,2.7,c00b412d_0
9,2,4,2,2,2.5,c00b412d_1_rand3
1,1,1,1,0,0,c00b412d_2
1.0,1.0,1.0,1.0,1.0,1.0,c00b412d_3
1,8,9,1,2,2,c00b412d_4
3,2,4,1,2,2.7,55f59e5e_0
3,3,4,1,2,2.3,55f59e5e_1_rand2
3,2,4,1,2,2.7,55f59e5e_2
2,2,4,1,2,2.75,55f59e5e_3
1.0,1.0,1.0,1.0,1.0,1.0,55f59e5e_4_rand5
1.0,1.0,1.0,1.0,1.0,1.0,55f59e5e_5
1,3,2,1,0,0,55f59e5e_6_rand2
9,3,3.5,2,1.25,1.75,4cce1733_0
1.0,1.0,1.0,1.0,1.0,1.0,4cce1733_1_rand4
2,8,8,1,2,2,4cce1733_2
1,1,1,1,0,0,4cce1733_3
12,3,6,2,0,1.0,6c8aba72_0
2,2,4,2,2,4,6c8aba72_1_rand4
12,8,9,1,2,2.5,6c8aba72_2
9,4,3,2,0.75,0.75,6c8aba72_3
12,8,9,1,0,1.0,6c8aba72_4_rand1
8,2,4,2,2,2.7,6c8aba72_5
2,3,3,1,2,2.5,6c8aba72_6_rand2
2,2,4,1,2,2,6c8aba72_7
1,1,1,1,0,0,6c8aba72_8_rand4
3,2,4,1,2,2.7,be18a0bd_0
3,2,4,1.0,2,2.7,be18a0bd_1
3,2,4,1,2,2.7,be18a0bd_2_rand3
3,2,2,1,0,0.75,36f0d5a7_0
2,2,4,1,2,2,36f0d5a7_1
6,8,10,7,8,32,36f0d5a7_2
2,3,4,1,2,2.6,36f0d5a7_3
6,3,2.5,0.75,1.2,0.95,36f0d5a7_4
1.0,3.0,2.0,1.0,1.0,2.5,36f0d5a7_5_rand4
1,3,6,2,0,58,36f0d5a7_6
1,3,6,2,0,58,36f0d5a7_7_rand1
10,4,3,2,0.75,0.75,1877ed43_0
2,2,4,1,2,2.7,1877ed43_1
1,1,1,1,0,0,1877ed43_2
1,1,1,1,0,0,1877ed43_3_rand2
1,1,1,1,0,0,1877ed43_4
1.0,1.0,1.0,1.0,1.0,1.0,1877ed43_5
1.0,1.0,1.0,1.0,1.0,1.0,1877ed43_6_rand4
1.0,1.0,1.0,1.0,1.0,1.0,1877ed43_7
1,3,2,1,0,0,28e32d8b_0
2,3,4,1,2,2.7,28e32d8b_1
1.0,1.0,1.0,1.0,1.0,1.0,28e32d8b_2_rand3
1,1,1,1,0,0,28e32d8b_3
1.0,1.0,1.0,1.0,1.0,1.0,28e32d8b_4_rand4
3,2,4,1,2,2.7,752da5f5_0
2,2,4,1,2,2,752da5f5_1_rand5
2,2,4,1,2,2.7,752da5f5_2
8,3,2.5,1.0,0.75,0.75,752da5f5_3
10,4,7,3,1.5,7.5,752da5f5_4_rand2
1,1,1,1,0,0,752da5f5_5
1.0,1.0,1.0,1.0,1.0,1.0,752da5f5_6
2,3,4,2,2,2.75,86894136_0
4,2,1,1,0,0.75,86894136_1_rand1
2,3,2,1,1,1.0,86894136_2
3,2,4,1,2,2.3,86894136_3
2,1,2,1,1,1.0,86894136_4_rand5
1.0,1.0,1.0,1.0,1.0,1.0,86894136_5
1,1,1,1,0,0,5a6f55c0_0
1.5,3,4,2,0.75,0.75,5a6f55c0_1
1.0,1.0,1.0,1.0,1.0,1.0,5a6f55c0_2
10,4,6,2,1.25,0.75,5a6f55c0_3
1,3,3,2,1,2.0,5a6f55c0_4
8,3,2,1.5,1.5,1.8,5a6f55c0_5_rand1
1,1,1,1,0,0,5a6f55c0_6
1.0,1.0,1.0,1.0,1.0,1.0,5a6f55c0_7
17,6,10,4,0.8,1.7,c80616cd_0
2.0,3.0,2.5,2.0,1.5,4.0,c80616cd_1
1.0,1.0,1.0,1.0,1.0,1.0,c80616cd_2
1.0,3.0,2.0,1.0,1.0,2.5,c80616cd_3
1.0,3.0,2.0,2.0,1.0,3.0,c80616cd_4
3,2,4,2,2,2.3,e67cc96b_0
3,2,4,1,2,2.7,e67cc96b_1
4,2,2,7,0,1.0,e67cc96b_2
8,20,9,1,2,2.5,e67cc96b_3
2,2,4,1,2,2.7,e67cc96b_4
2,2,4,1,2,2.7,e67cc96b_5
2,2,4,2,2,2,e67cc96b_6_rand4
1,1,1,1,0,0,e67cc96b_7
1.0,3.0,2.0,2.0,1.0,2.5,e67cc96b_8_rand1
8,2,4,2,2,2.75,67bb8d0b_0
9,4,4,2,0.75,0.75,67bb8d0b_1
2,4,8,2,2,4.0,67bb8d0b_2
2,2,4,1,2,3.0,67bb8d0b_3_rand2
1.5,3,4,2,1.25,0.75,67bb8d0b_4
1.0,1.0,1.0,1.0,1.0,1.0,67bb8d0b_5
1.0,1.0,1.0,1.0,1.0,1.0,67bb8d0b_6_rand3
1.0,1.0,1.0,1.0,1.0,1.0,67bb8d0b_7
1.0,1.0,1.0,1.0,1.0,1.0,67bb8d0b_8_rand3
1.0,1.0,1.0,1.0,1.0,1.0,06cc1744_0
1,1,1,1,0,0,06cc1744_1
2,1,2,7,0,1.0,445a9049_0
1.5,3,1.2,0.75,0.75,0.75,445a9049_1
2,2,4,1,2,2.7,445a9049_2_rand4
1.0,3.0,4.0,2.0,2.0,4.0,445a9049_3
1,1,1,1,0,0,445a9049_4
1,1,1,1,0,0,445a9049_5
1,1,1,2,0,0.75,445a9049_6
1.0,3.0,2.0,2.0,1.0,2.5,445a9049_7
1.0,1.0,1.0,1.0,1.0,1.0,445a9049_8_rand5
1,1,1,1,0,0,445a9049_9
1.0,1.0,1.0,1.0,1.0,1.0,85ac4c01_0
1,4,8,1,1,1.0,d34fe87e_0
1.5,3,4,2,1.5,0.87,d34fe87e_1
2,3,4,2,2,2.75,ece71700_0
12,7,9,2,0,0,ece71700_1_rand3
1.0,1.0,1.0,1.0,1.0,1.0,ece71700_2
1.0,1.0,1.0,1.0,1.0,1.0,ece71700_3_rand1
2,3,4,1,2,2,ece71700_4
1,1,1,1,0,0,ece71700_5
1,2,1,1,2,2,e91cf7d3_0
1,2,4,2,2,2.3,e91cf7d3_1_rand3
4,2,2,2,1,1.0,e91cf7d3_2
8,8,9,1,0,1.0,e91cf7d3_3
10,4,9,2,3,7.5,e91cf7d3_4
1.0,1.0,1.0,1.0,1.0,1.0,e91cf7d3_5_rand3
10,4,6,2,1.5,7.5,e91cf7d3_6
2,3,4,2,2,3.0,d022b758_0
8,2,4,1,2,2.7,d022b758_1
2.5,3,4,2,0.75,0.75,d022b758_2
1.0,3.0,2.0,2.0,1.0,3.3,d022b758_3
12,8,10,1,3,4.0,d022b758_4
12,14,9,1,2,2.5,d022b758_5_rand4
12,7,9,2,0,1.0,d022b758_6
1,1,1,1,0,0,d022b758_7
9,2,9,7,0,1.0,d161ca89_0
1.5,2,2,1,1.5,0.75,d161ca89_1_rand3
3,3,4,1,2,2.3,d161ca89_2
2,"Weak, isolated pawn on b7","Moderate, some pieces blocked","Good, kings are relatively safe","Passive, lacks clear initiative",0.75,d161ca89_3_rand1
8,2,4,2,2,2.0,d161ca89_4
1.0,1.0,1.0,1.0,1.0,1.0,d161ca89_5
1.0,1.0,1.0,1.0,1.0,1.0,d161ca89_6_rand2
1,1,1,1,0,0,d161ca89_7
1,1,1,1,0,0,d161ca89_8
1.0,3.0,2.0,2.0,1.0,3.0,d161ca89_9
10,4,6,2,1.5,8.5,d161ca89_10_rand1
1.5,3,2.5,0.7,0.67,0.67,85b13052_0
1.5,3,4,2,0.75,0.75,85b13052_1_rand4
1.0,3.0,2.0,1.0,1.0,2.5,85b13052_2
12,7,9,1,2,2.5,85b13052_3
12,7,9,1,2,2.5,921975e8_0
2,3,2,1,1,1.0,2006b3c0_0
12,7,8,2,2,2.5,2006b3c0_1_rand4
3,2,4,1,2,2.7,2006b3c0_2
4,2,1,1,0,0.75,2006b3c0_3
3,1,2,2,0,0.75,2006b3c0_4_rand4
2,1,1,0,0,0.25,2006b3c0_5
1.0,1.0,1.0,1.0,1.0,1.0,2006b3c0_6
8,6,2,1,1,2.7,2006b3c0_7
2,3,4,1,0,1.0,43b5bd56_0
12,1.5,2.0,1.0,1.0,1.2,43b5bd56_1_rand1
8,12,9,1,0,1.0,43b5bd56_2
1,1,1,1,0,0,43b5bd56_3
1,1,1,1,0,0,43b5bd56_4
1,1,1,1,1,1,34fd71d8_0
2,1,2,3,1,2.0,34fd71d8_1_rand5
12,3,8,1,2,4.75,34fd71d8_2
8,12,8,1,2,2.5,34fd71d8_3_rand2
2,3,3,2,1.5,3.5,34fd71d8_4
1.0,3.0,2.0,2.0,1.0,3.0,34fd71d8_5
1,18,9,1,0,1.0,3a52c5b5_0
1,12,10,1,0,0,3a52c5b5_1_rand5
3,2,4,1,2,2.7,3130495f_0
,,,,,,3130495f_1
1,1,1,1,0,0,3130495f_2
1,2,1,1,0,0.75,3130495f_3
1,1,1,1,0,0,3130495f_4
8,4,3,0.5,1.25,0.75,3130495f_5_rand3
1,3,2,1,0,0,3130495f_6
4,2,4,1,2,2.7,d51e98e6_0
1,3,2,2,0,0,d51e98e6_1
1,1,1,1,0,0,d51e98e6_2
2,3,2.5,0.75,0.75,0.75,d51e98e6_3
1,2,2,1,1,2,d51e98e6_4_rand2
4,2,1,1,0,0.75,8476d12c_0
8,2,1,1,0,1.0,8476d12c_1
10,4,4,2,1.5,0.87,8476d12c_2
1.5,3,2.5,1.0,1.3,1.3,8476d12c_3_rand4
10,6,8,4,2.5,7.5,8476d12c_4
1,1,1,1,0,0,8476d12c_5
1.0,1.0,1.0,1.0,1.0,1.0,36fdce78_0
4,2,8,2,2,2.0,36fdce78_1_rand3
1.5,3,1.2,0.8,0.75,0.75,36fdce78_2
1.0,3.0,2.0,2.0,1.0,2.5,36fdce78_3_rand4
1.0,3.0,2.0,1.0,1.0,2.5,36fdce78_4
1,3,2,1,0,0,36fdce78_5
1,1,1,7,0,0.75,36fdce78_6_rand3
2,5,4,1,0,1.0,ced84144_0
9,22,9,7,2,2.7,ced84144_1
3,2,4,1,2,2.7,ced84144_2
12,3,3,4,-0.25,0.75,ced84144_3_rand4
2,3,6,1.0,0,1.0,ced84144_4
2,4,4,2,2,2.5,ced84144_5_rand5
1.0,1.0,1.0,1.0,1.0,1.0,ced84144_6
1.5,3,4,2,1.25,0.75,ced84144_7
10,8,12,7,8,8.5,ced84144_8
1,1,1,1,0,0,ced84144_9
1,1,1,1,0,0,ced84144_10_rand5
9,2,4,2,2,2.5,a3f13466_0
12,8,9,1,2,2.5,1aec5b5f_0
12,8,9,1,2,2.5,1aec5b5f_1
12,8,9,1,0,15,1aec5b5f_2_rand1
1,1,1,1,0,0,1aec5b5f_3
1.0,1.0,1.0,1.0,1.0,1.0,1aec5b5f_4
1,1,1,1,0,0,62e8ff36_0
1,1,1,1,0,0,62e8ff36_1
1,1,1,1,0,0,62e8ff36_2
12,7,9,2,0,1.0,2c9aa698_0
1,1,1,1,0,0,2c9aa698_1
2,2,2,1,1,2,2c9aa698_2_rand5
8,13,9,1,0,1.0,f4135b36_0
12,7,9,7,2,2.5,f4135b36_1_rand3
12,7,9,2,0,1.0,f4135b36_2
12,8,8,1,2,27,f4135b36_3
12,2,10,1,4,4.7,f4135b36_4_rand1
1.0,3.0,3.0,2.0,2.0,3.0,f4135b36_5
2,2.5,2.0,1.0,1.0,1.2,88001dfe_0
2,2.5,2.0,1.0,1.0,1.3,88001dfe_1
3,2.5,4.0,1.2,2.0,3.3,88001dfe_2
1.0,1.0,1.0,1.0,1.0,1.0,88001dfe_3
8,22,7,1,2,2.5,88001dfe_4
1.0,3.0,2.0,1.0,1.0,2.5,88001dfe_5
1.5,3,1.2,0.8,0.75,0.75,88001dfe_6
8,6,7,4,1.5,7.5,88001dfe_7_rand4
1.0,3.0,3.0,2.0,1.0,4.0,88001dfe_8
1,1.5,1.0,1.0,0.5,0.7,c126487c_0
9,4,3,2,0.75,0.75,c126487c_1_rand2
1.0,8.0,9.0,7.0,2.0,8.0,c126487c_2
1.5,3,1.2,0.75,0.75,0.75,c126487c_3
9,4,2.5,0.75,0.75,0.75,d2df6955_0
8,2,4,1,2,2.5,d2df6955_1
8,2,4,2,2,3.0,d2df6955_2_rand2
8,2,4,1,2,3.67,d2df6955_3
8,2,4,2,2,2.7,d2df6955_4_rand1
1,1,1,8,0,0.75,d2df6955_5
1.0,3.0,2.5,2.0,1.5,3.3,d2df6955_6
8,4,2.5,1.5,1.5,7.5,d2df6955_7
10,4,12,2,1.5,1.5,3d281c96_0
8,2,7,1,2,2.5,69205bc0_0
1,1,1,1,0,0,69205bc0_1
8,3,2,1.5,1.5,1.8,13983ac4_0
8,4,2.5,0.7,0.87,0.87,13983ac4_1
1,1,1,1,0,0,13983ac4_2
1,1,1,1,0,0,13983ac4_3
10,4,9,2,1.5,7.5,13983ac4_4
2,1,1,1,0,0.75,13983ac4_5_rand5
1,1,1,1,1,1,13983ac4_6
1,1,1,1,1,1,13983ac4_7
1,1,1,1,0,0,13983ac4_8
1,1,1,1,0,0,13983ac4_9_rand2
1,1,1,1,0,0,13983ac4_10
1.0,1.0,1.0,1.0,1.0,1.0,13983ac4_11
1,1,1,1,0,0,13983ac4_12
4,28,9,7,2,2.5,3acb0b94_0
3,2,4,1,2,2.7,3acb0b94_1_rand5
9,8,9,1,0,1.0,3acb0b94_2
1,1,1,1,0,0,3acb0b94_3
1.0,1.0,1.0,1.0,1.0,1.0,3acb0b94_4_rand1
1.0,1.0,1.0,1.0,1.0,1.0,3acb0b94_5
3,2,4,1,2,2.7,c1889016_0
4,2,4,1,2,2.7,c1889016_1_rand5
1,2,8,2,2,2.5,c1889016_2
12,3,14,2,2.5,4.7,c1889016_3_rand4
1.5,3,2.5,1.0,0.75,0.75,c1889016_4
2,6,6,1.0,1.0,7.0,c1889016_5
1,1,1,1,0,0,c1889016_6_rand4
1,3,2,1,0,0,c1889016_7
1.5,3,4,2,0.75,0.75,c1889016_8_rand3
3,2,9,7,0,1.0,26ae020a_0
9,2,4,2,2,2.33,26ae020a_1
10,3,2.5,0.5,0.75,0.75,26ae020a_2_rand3
3,2,4,1,2,2.7,26ae020a_3
3,2,4,2,2,2.3,26ae020a_4_rand2
1,1,1,1,0,0,26ae020a_5
1.0,1.0,1.0,1.0,1.0,1.0,26ae020a_6
1.0,1.0,1.0,0.5,1.0,1.0,26ae020a_7
1.0,1.0,1.0,1.0,1.0,1.0,26ae020a_8
1.0,1.0,1.0,1.0,1.0,1.0,26ae020a_9
1.0,1.0,1.0,1.0,1.0,1.0,26ae020a_10_rand1
1.0,12.0,10.0,1.0,2.0,4.0,accfed75_0
1,1,1,1,0,0,accfed75_1
1.0,3.0,2.0,2.0,1.0,2.5,accfed75_2
1,1,1,0,0,0,accfed75_3
0,1.0,1.0,1.0,0.0,0.0,4e420542_0
1,1,1,1,0,0,4e420542_1
1,1,1,1,0,0,4e420542_2
1.5,3,1.2,0.8,0.75,0.75,4e420542_3
9,2,4,1,2,2.7,e6117749_0
1,8,8,1,0,0,a0598373_0
4,1.5,1.0,1.0,0.5,0.3,0d520eb1_0
2,3,4,2,2,2.75,0d520eb1_1
1,2,1,1,0,1.0,0d520eb1_2
1.5,3,4,2,1.25,0.75,0d520eb1_3_rand5
2,2,2,1,0,2,0d520eb1_4
12,8,10,1,4,4.75,0d520eb1_5
8,2,10,1,2,2.5,6f177a60_0
2,6,8,1.0,0,0.75,6f177a60_1_rand5
1,2,2,1,0,0,6f177a60_2
12,6,8,3,1.5,7.0,6f177a60_3
1,3,2,1,0,0,6f177a60_4_rand2
1.5,3,1.5,0.75,0.75,0.75,6f177a60_5
1,1,1,1,0,0,6f177a60_6_rand4
12,8,9,1,2,2.5,a4135007_0
8,2,8,1,2,2,a4135007_1
2,6,4,1.5,2,4.2,a4135007_2
4,2.5,4.0,1.0,2.0,2.7,6c5d6d8f_0
2,2,4,1,2,2.7,6c5d6d8f_1
2,3,2,1,1,1.0,6c5d6d8f_2_rand3
1.0,1.0,1.0,1.0,1.0,1.0,6c5d6d8f_3
1.0,1.0,1.0,1.0,1.0,1.0,6c5d6d8f_4
12,2,10,1,3,4.7,6c5d6d8f_5
1,2,1.5,1.0,1.0,1.5,d145a476_0
2,2,8,1,2,2.7,1deeb714_0
2,2,4,1,2,2,1deeb714_1
1,4,8,1,2,3.75,1deeb714_2_rand5
9,2,9,7,0,1.0,05897f29_0
8,4,3,0.5,1.25,0.75,958afa58_0
12,4,14,0.75,0.75,0.75,958afa58_1
8,2,4,2,2,3.0,958afa58_2
,,,,,,958afa58_3
1,1,1,1,0,0,958afa58_4
1.0,1.0,1.0,1.0,1.0,1.0,958afa58_5_rand4
2.5,3,1.5,0.75,0.75,0.75,958afa58_6
1,1,1,1,0,0,958afa58_7_rand1
1,2,2,1,0,0,958afa58_8
1,1,1,1,0,0,958afa58_9_rand2
1,1,1,1,0,0,958afa58_10
1.0,2.0,1.5,1.0,1.0,1.8,257cf696_0
1.0,2.0,1.5,1.0,1.0,1.0,257cf696_1_rand5
1.0,1.0,1.0,1.0,1.0,1.0,257cf696_2
1,8,8,6,2,2.5,257cf696_3
4,22,7,1.0,2,2.2,c5149c2e_0
8,2,9,1,2,3.0,c5149c2e_1
1.5,4,1.0,2,0.75,0.75,c5149c2e_2
1.5,4,1.0,2,0.67,0.67,c5149c2e_3_rand2
12,7,8,1,2,2.5,c5149c2e_4
12,2,10,1,4,4.75,c5149c2e_5
12,7,8,1,2,2.5,c5149c2e_6
1,1,1,1,0,0,c5149c2e_7
2,2,4,2,2,2,24a38cb7_0
1.0,3.0,2.0,2.0,1.0,2.5,24a38cb7_1
1.0,3.0,2.0,2.0,1.0,3.3,24a38cb7_2
1,1,1,1,0,0,24a38cb7_3_rand3
1.0,3.0,2.0,1.0,1.0,4.0,24a38cb7_4
1,1,1,1,0,0,24a38cb7_5
8,2,8,1,2,2,c9d55b01_0
3.5,3,2.5,1.0,0.75,0.75,c9d55b01_1_rand1
8,2,8,2,0,1.0,c9d55b01_2
2.0,3.0,1.5,0.75,0.75,0.75,c9d55b01_3
1,1,1,1,0,0,c9d55b01_4
1.0,3.0,2.0,1.0,1.0,2.5,c9d55b01_5
1.0,1.0,1.0,1.0,1.0,1.0,c9d55b01_6
1.0,1.0,1.0,1.0,1.0,1.0,95206252_0
1,1,1,1,0,0,95206252_1_rand4
1.0,3.0,2.0,1.0,1.0,2.5,95206252_2
12,8,9,2,0,1.0,0223fc14_0
8,2,8,1,0,1.0,0223fc14_1
1,3,8,1,1.5,1.5,9bbbca3f_0
2,2,4,1.0,2,2.0,9bbbca3f_1
1.0,1.0,1.0,1.0,1.0,1.0,9bbbca3f_2
1.0,1.0,1.0,1.0,1.0,1.0,9bbbca3f_3_rand1
8,6,7,8,4,4.5,9bbbca3f_4
4,2,4,1,2,2.7,58c6e8c0_0
9,4,8,2,2,4.0,58c6e8c0_1
8,2,4,1,2,2.7,58c6e8c0_2
1.5,4,1.2,1.0,0.75,0.75,58c6e8c0_3
1,1,1,0,0,0,58c6e8c0_4_rand4
1,3,1,1,0,0,58c6e8c0_5
8,4,3,2,1.25,0.75,58c6e8c0_6
1.0,1.0,1.0,1.0,1.0,1.0,58c6e8c0_7
1,1,2,1,0,0.75,58c6e8c0_8_rand5
1.0,1.0,1.0,1.0,1.0,1.0,58c6e8c0_9
1.0,1.0,1.0,1.0,1.0,1.0,58c6e8c0_10
1.0,1.0,1.0,1.0,1.0,1.0,58c6e8c0_11
2,3,4,1,2,2.5,754b3f1c_0
2,2,4,1,2,2.7,754b3f1c_1_rand3
8,2,4,2,2,3.0,754b3f1c_2
8,2,4,2,2,3.0,754b3f1c_3
2,2,4,1,2,2.7,754b3f1c_4
10,3,3,4,-0.5,3.5,754b3f1c_5
2,2,4,1,2,2.75,de395ad1_0
4,2,4,1,2,2.7,de395ad1_1_rand5
8,2,8,1,0,0,de395ad1_2
12,6,10,4,2.5,7.5,de395ad1_3_rand2
1.0,3.0,2.0,2.0,1.0,4.0,de395ad1_4
1.0,3.0,3.0,2.0,2.0,3.5,de395ad1_5_rand3
1,1,1,1,0,0,de395ad1_6
4,2,4,1.0,2,2.7,0fef4149_0
12,7,10,2,4,5.0,0fef4149_1
1.0,1.0,1.0,1.0,1.0,1.0,0fef4149_2
1,3,4,2,2,2.7,0fef4149_3_rand5
1.0,1.0,1.0,1.0,1.0,1.0,0fef4149_4
1.0,1.0,1.0,1.0,1.0,1.0,0fef4149_5
1,12,9,1,0,0,66edbfc7_0
12,2,9,1,0,1.0,66edbfc7_1_rand1
1,1,1,1,0,0,66edbfc7_2
8,2,4,2,2,2.7,66edbfc7_3
12,7,9,1,2,2.5,66edbfc7_4
